No,Features,Description
485,"var_485_fBodyGyro-bandsEnergy()-33,48","Original features: fBodyGyro-bandsEnergy()-33,48 . (Feature No: 485 )"
486,"var_486_fBodyGyro-bandsEnergy()-49,64","Original features: fBodyGyro-bandsEnergy()-49,64 . (Feature No: 486 )"
487,"var_487_fBodyGyro-bandsEnergy()-1,24","Original features: fBodyGyro-bandsEnergy()-1,24 . (Feature No: 487 )"
488,"var_488_fBodyGyro-bandsEnergy()-25,48","Original features: fBodyGyro-bandsEnergy()-25,48 . (Feature No: 488 )"
489,"var_489_fBodyGyro-bandsEnergy()-1,8","Original features: fBodyGyro-bandsEnergy()-1,8 . (Feature No: 489 )"
490,"var_490_fBodyGyro-bandsEnergy()-9,16","Original features: fBodyGyro-bandsEnergy()-9,16 . (Feature No: 490 )"
491,"var_491_fBodyGyro-bandsEnergy()-17,24","Original features: fBodyGyro-bandsEnergy()-17,24 . (Feature No: 491 )"
492,"var_492_fBodyGyro-bandsEnergy()-25,32","Original features: fBodyGyro-bandsEnergy()-25,32 . (Feature No: 492 )"
493,"var_493_fBodyGyro-bandsEnergy()-33,40","Original features: fBodyGyro-bandsEnergy()-33,40 . (Feature No: 493 )"
494,"var_494_fBodyGyro-bandsEnergy()-41,48","Original features: fBodyGyro-bandsEnergy()-41,48 . (Feature No: 494 )"
495,"var_495_fBodyGyro-bandsEnergy()-49,56","Original features: fBodyGyro-bandsEnergy()-49,56 . (Feature No: 495 )"
496,"var_496_fBodyGyro-bandsEnergy()-57,64","Original features: fBodyGyro-bandsEnergy()-57,64 . (Feature No: 496 )"
497,"var_497_fBodyGyro-bandsEnergy()-1,16","Original features: fBodyGyro-bandsEnergy()-1,16 . (Feature No: 497 )"
498,"var_498_fBodyGyro-bandsEnergy()-17,32","Original features: fBodyGyro-bandsEnergy()-17,32 . (Feature No: 498 )"
499,"var_499_fBodyGyro-bandsEnergy()-33,48","Original features: fBodyGyro-bandsEnergy()-33,48 . (Feature No: 499 )"
500,"var_500_fBodyGyro-bandsEnergy()-49,64","Original features: fBodyGyro-bandsEnergy()-49,64 . (Feature No: 500 )"
501,"var_501_fBodyGyro-bandsEnergy()-1,24","Original features: fBodyGyro-bandsEnergy()-1,24 . (Feature No: 501 )"
502,"var_502_fBodyGyro-bandsEnergy()-25,48","Original features: fBodyGyro-bandsEnergy()-25,48 . (Feature No: 502 )"
503,var_503_fBodyAccMag-mean(),Original features: fBodyAccMag-mean() . (Feature No: 503 )
504,var_504_fBodyAccMag-std(),Original features: fBodyAccMag-std() . (Feature No: 504 )
505,var_505_fBodyAccMag-mad(),Original features: fBodyAccMag-mad() . (Feature No: 505 )
506,var_506_fBodyAccMag-max(),Original features: fBodyAccMag-max() . (Feature No: 506 )
507,var_507_fBodyAccMag-min(),Original features: fBodyAccMag-min() . (Feature No: 507 )
508,var_508_fBodyAccMag-sma(),Original features: fBodyAccMag-sma() . (Feature No: 508 )
509,var_509_fBodyAccMag-energy(),Original features: fBodyAccMag-energy() . (Feature No: 509 )
510,var_510_fBodyAccMag-iqr(),Original features: fBodyAccMag-iqr() . (Feature No: 510 )
511,var_511_fBodyAccMag-entropy(),Original features: fBodyAccMag-entropy() . (Feature No: 511 )
512,var_512_fBodyAccMag-maxInds,Original features: fBodyAccMag-maxInds . (Feature No: 512 )
513,var_513_fBodyAccMag-meanFreq(),Original features: fBodyAccMag-meanFreq() . (Feature No: 513 )
514,var_514_fBodyAccMag-skewness(),Original features: fBodyAccMag-skewness() . (Feature No: 514 )
515,var_515_fBodyAccMag-kurtosis(),Original features: fBodyAccMag-kurtosis() . (Feature No: 515 )
516,var_516_fBodyBodyAccJerkMag-mean(),Original features: fBodyBodyAccJerkMag-mean() . (Feature No: 516 )
517,var_517_fBodyBodyAccJerkMag-std(),Original features: fBodyBodyAccJerkMag-std() . (Feature No: 517 )
518,var_518_fBodyBodyAccJerkMag-mad(),Original features: fBodyBodyAccJerkMag-mad() . (Feature No: 518 )
519,var_519_fBodyBodyAccJerkMag-max(),Original features: fBodyBodyAccJerkMag-max() . (Feature No: 519 )
520,var_520_fBodyBodyAccJerkMag-min(),Original features: fBodyBodyAccJerkMag-min() . (Feature No: 520 )
521,var_521_fBodyBodyAccJerkMag-sma(),Original features: fBodyBodyAccJerkMag-sma() . (Feature No: 521 )
522,var_522_fBodyBodyAccJerkMag-energy(),Original features: fBodyBodyAccJerkMag-energy() . (Feature No: 522 )
523,var_523_fBodyBodyAccJerkMag-iqr(),Original features: fBodyBodyAccJerkMag-iqr() . (Feature No: 523 )
524,var_524_fBodyBodyAccJerkMag-entropy(),Original features: fBodyBodyAccJerkMag-entropy() . (Feature No: 524 )
525,var_525_fBodyBodyAccJerkMag-maxInds,Original features: fBodyBodyAccJerkMag-maxInds . (Feature No: 525 )
526,var_526_fBodyBodyAccJerkMag-meanFreq(),Original features: fBodyBodyAccJerkMag-meanFreq() . (Feature No: 526 )
527,var_527_fBodyBodyAccJerkMag-skewness(),Original features: fBodyBodyAccJerkMag-skewness() . (Feature No: 527 )
528,var_528_fBodyBodyAccJerkMag-kurtosis(),Original features: fBodyBodyAccJerkMag-kurtosis() . (Feature No: 528 )
529,var_529_fBodyBodyGyroMag-mean(),Original features: fBodyBodyGyroMag-mean() . (Feature No: 529 )
530,var_530_fBodyBodyGyroMag-std(),Original features: fBodyBodyGyroMag-std() . (Feature No: 530 )
531,var_531_fBodyBodyGyroMag-mad(),Original features: fBodyBodyGyroMag-mad() . (Feature No: 531 )
532,var_532_fBodyBodyGyroMag-max(),Original features: fBodyBodyGyroMag-max() . (Feature No: 532 )
533,var_533_fBodyBodyGyroMag-min(),Original features: fBodyBodyGyroMag-min() . (Feature No: 533 )
534,var_534_fBodyBodyGyroMag-sma(),Original features: fBodyBodyGyroMag-sma() . (Feature No: 534 )
535,var_535_fBodyBodyGyroMag-energy(),Original features: fBodyBodyGyroMag-energy() . (Feature No: 535 )
536,var_536_fBodyBodyGyroMag-iqr(),Original features: fBodyBodyGyroMag-iqr() . (Feature No: 536 )
537,var_537_fBodyBodyGyroMag-entropy(),Original features: fBodyBodyGyroMag-entropy() . (Feature No: 537 )
538,var_538_fBodyBodyGyroMag-maxInds,Original features: fBodyBodyGyroMag-maxInds . (Feature No: 538 )
539,var_539_fBodyBodyGyroMag-meanFreq(),Original features: fBodyBodyGyroMag-meanFreq() . (Feature No: 539 )
540,var_540_fBodyBodyGyroMag-skewness(),Original features: fBodyBodyGyroMag-skewness() . (Feature No: 540 )
541,var_541_fBodyBodyGyroMag-kurtosis(),Original features: fBodyBodyGyroMag-kurtosis() . (Feature No: 541 )
542,var_542_fBodyBodyGyroJerkMag-mean(),Original features: fBodyBodyGyroJerkMag-mean() . (Feature No: 542 )
543,var_543_fBodyBodyGyroJerkMag-std(),Original features: fBodyBodyGyroJerkMag-std() . (Feature No: 543 )
544,var_544_fBodyBodyGyroJerkMag-mad(),Original features: fBodyBodyGyroJerkMag-mad() . (Feature No: 544 )
545,var_545_fBodyBodyGyroJerkMag-max(),Original features: fBodyBodyGyroJerkMag-max() . (Feature No: 545 )
546,var_546_fBodyBodyGyroJerkMag-min(),Original features: fBodyBodyGyroJerkMag-min() . (Feature No: 546 )
547,var_547_fBodyBodyGyroJerkMag-sma(),Original features: fBodyBodyGyroJerkMag-sma() . (Feature No: 547 )
548,var_548_fBodyBodyGyroJerkMag-energy(),Original features: fBodyBodyGyroJerkMag-energy() . (Feature No: 548 )
549,var_549_fBodyBodyGyroJerkMag-iqr(),Original features: fBodyBodyGyroJerkMag-iqr() . (Feature No: 549 )
550,var_550_fBodyBodyGyroJerkMag-entropy(),Original features: fBodyBodyGyroJerkMag-entropy() . (Feature No: 550 )
551,var_551_fBodyBodyGyroJerkMag-maxInds,Original features: fBodyBodyGyroJerkMag-maxInds . (Feature No: 551 )
552,var_552_fBodyBodyGyroJerkMag-meanFreq(),Original features: fBodyBodyGyroJerkMag-meanFreq() . (Feature No: 552 )
553,var_553_fBodyBodyGyroJerkMag-skewness(),Original features: fBodyBodyGyroJerkMag-skewness() . (Feature No: 553 )
554,var_554_fBodyBodyGyroJerkMag-kurtosis(),Original features: fBodyBodyGyroJerkMag-kurtosis() . (Feature No: 554 )
555,"var_555_angle(tBodyAccMean,gravity)","Original features: angle(tBodyAccMean,gravity) . (Feature No: 555 )"
556,"var_556_angle(tBodyAccJerkMean),gravityMean)","Original features: angle(tBodyAccJerkMean),gravityMean) . (Feature No: 556 )"
557,"var_557_angle(tBodyGyroMean,gravityMean)","Original features: angle(tBodyGyroMean,gravityMean) . (Feature No: 557 )"
558,"var_558_angle(tBodyGyroJerkMean,gravityMean)","Original features: angle(tBodyGyroJerkMean,gravityMean) . (Feature No: 558 )"
559,"var_559_angle(X,gravityMean)","Original features: angle(X,gravityMean) . (Feature No: 559 )"
560,"var_560_angle(Y,gravityMean)","Original features: angle(Y,gravityMean) . (Feature No: 560 )"
561,"var_561_angle(Z,gravityMean)","Original features: angle(Z,gravityMean) . (Feature No: 561 )"
562,var_562_subject,subject
563,var_563_activity_label,activity_label
